term,normalized_term,definition,definition_source,matched_source_term,source_columns,network_keys,n_mentions,needs_llm_definition,text
Adaptive control,adaptive control,Modifying the control law used by a controller to cope with the fact that the parameters of the system being controlled are slowly time-varying or uncertain.,cogatlas,adaptive control,cognitive_terms,frontoparietal_control,18,False,Adaptive control [SEP] Modifying the control law used by a controller to cope with the fact that the parameters of the system being controlled are slowly time-varying or uncertain.
Angular gyrus,angular gyrus,Angular gyrus is a brain region involved in integrating information from different sensory modalities to support language and spatial cognition.,ollama:qwen2.5:14b-instruct,Angular gyrus,region_terms,default_mode; language,16,False,Angular gyrus [SEP] Angular gyrus is a brain region involved in integrating information from different sensory modalities to support language and spatial cognition.
Anterior insula,anterior insula,"The anterior insula is a region within the Insular Cortex located at the bottom of the lateral surface of the brain, playing a crucial role in emotional processing; it co-occurs with structures such as the Amygdala and Prefrontal Cortex, and is associated with affective symptoms and emotional responses.",kg_mesh,anterior insula,region_terms,cingulo_opercular,14,False,"Anterior insula [SEP] The anterior insula is a region within the Insular Cortex located at the bottom of the lateral surface of the brain, playing a crucial role in emotional processing; it co-occurs with structures such as the Amygdala and Prefrontal Cortex, and is associated with affective symptoms and emotional responses."
Anterior midline,anterior midline,"Anterior midline refers to the central axis in the front part of the brain, often involved in cognitive and emotional processing.",ollama:qwen2.5:14b-instruct,Anterior midline,region_terms,cingulo_opercular,14,False,"Anterior midline [SEP] Anterior midline refers to the central axis in the front part of the brain, often involved in cognitive and emotional processing."
Anterior prefrontal,anterior prefrontal,The anterior prefrontal cortex is involved in complex cognitive functions including planning and decision-making processes.,ollama:qwen2.5:14b-instruct,Anterior prefrontal,region_terms,cingulo_opercular; frontoparietal_control,32,False,Anterior prefrontal [SEP] The anterior prefrontal cortex is involved in complex cognitive functions including planning and decision-making processes.
Anterior temporal lobe,anterior temporal lobe,"Involved in semantic memory and understanding of language, housing knowledge about concepts and objects.",ollama:qwen2.5:14b-instruct,Anterior temporal lobe,region_terms,language,3,False,"Anterior temporal lobe [SEP] Involved in semantic memory and understanding of language, housing knowledge about concepts and objects."
Attention network,attention network,"The attention network emphasizes dorsal attention regions including intraparietal sulcus, dorsal superior parietal lobule, frontal eye fields, superior frontal cortex, temporoparietal junction, ventral frontal cortex, precuneus, and parietal midline. It supports selective attention, spatial orienting, sustained attention, top-down attentional control, and bottom-up reorienting to behaviorally relevant stimuli.",network_test_set_labels.long_definition,Attention,network_name,attention,5,False,"Attention network [SEP] The attention network emphasizes dorsal attention regions including intraparietal sulcus, dorsal superior parietal lobule, frontal eye fields, superior frontal cortex, temporoparietal junction, ventral frontal cortex, precuneus, and parietal midline. It supports selective attention, spatial orienting, sustained attention, top-down attentional control, and bottom-up reorienting to behaviorally relevant stimuli."
Auditory network,auditory network,"The auditory network includes primary auditory cortex, planum temporale, planum polare, superior temporal gyrus, superior temporal sulcus, and insula. It supports auditory perception, pitch processing, sound localization, speech-sound processing, music perception, and detection of salient acoustic events.",network_test_set_labels.long_definition,Auditory,network_name,auditory,5,False,"Auditory network [SEP] The auditory network includes primary auditory cortex, planum temporale, planum polare, superior temporal gyrus, superior temporal sulcus, and insula. It supports auditory perception, pitch processing, sound localization, speech-sound processing, music perception, and detection of salient acoustic events."
Auditory perception,auditory perception,"The ability to identify, interpret, and attach meaning to sound.",cogatlas,auditory perception,cognitive_terms,auditory,5,False,"Auditory perception [SEP] The ability to identify, interpret, and attach meaning to sound."
Autobiographical memory,autobiographical memory,"Autobiographical memory refers to memory for one's personal history. examples might include memories for experiences that occurred in childhood, the first time learning to drive a car, or even one's social security number or home address.
(from science direct).",cogatlas,autobiographical memory,cognitive_terms,default_mode,13,False,"Autobiographical memory [SEP] Autobiographical memory refers to memory for one's personal history. examples might include memories for experiences that occurred in childhood, the first time learning to drive a car, or even one's social security number or home address.
(from science direct)."
Autonomic coordination,autonomic coordination,Integration of autonomic nervous system activities to regulate bodily functions during cognitive tasks.,ollama:qwen2.5:14b-instruct,Autonomic coordination,cognitive_terms,cingulo_opercular,14,False,Autonomic coordination [SEP] Integration of autonomic nervous system activities to regulate bodily functions during cognitive tasks.
Basal ganglia,basal ganglia,"The Basal Ganglia are a group of subcortical structures in the brain that play crucial roles in movement control, habit learning, and cognitive functions; Magnetic Resonance Imaging is often used to visualize these regions, which are found co-occurring in both male and female humans across different age groups including adults.",kg_mesh,Basal Ganglia,region_terms,motor,27,False,"Basal ganglia [SEP] The Basal Ganglia are a group of subcortical structures in the brain that play crucial roles in movement control, habit learning, and cognitive functions; Magnetic Resonance Imaging is often used to visualize these regions, which are found co-occurring in both male and female humans across different age groups including adults."
Bottom-up reorienting,bottom up reorienting,"Process by which sensory input drives attention to new stimuli, overriding current focus.",ollama:qwen2.5:14b-instruct,Bottom-up reorienting,cognitive_terms,attention,5,False,"Bottom-up reorienting [SEP] Process by which sensory input drives attention to new stimuli, overriding current focus."
